X, Y, Z, Lxx, Lxy, Lxz, Lyx, Lyy, Lyz, Lzx, Lzy, Lzz, W 
0.001000, 0.001000, 0.001000, 2.594119, -0.674196, -0.674196, -0.674196, 2.594119, -0.674196, -0.674196, -0.674196 , 2.594119, 0.847487 
0.001000, 0.002000, 0.001000, 1.802080, -0.053034, -0.635979, -0.053034, 1.342563, -0.053034, -0.635979, -0.053034 , 1.802080, 1.146419 
0.001000, 0.003000, 0.001000, 1.748257, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748257, 1.233128 
0.001000, 0.004000, 0.001000, 1.748258, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, -0.000000 , 1.748258, 1.233128 
0.001000, 0.005000, 0.001000, 1.748257, -0.000000, -0.616663, -0.000000, 1.060311, -0.000000, -0.616663, -0.000000 , 1.748257, 1.233128 
0.001000, 0.006000, 0.001000, 1.748257, -0.000000, -0.616663, -0.000000, 1.060311, -0.000000, -0.616663, -0.000000 , 1.748257, 1.233128 
0.001000, 0.007000, 0.001000, 1.748257, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748257, 1.233128 
0.001000, 0.008000, 0.001000, 1.748257, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748257, 1.233128 
0.001000, 0.009000, 0.001000, 1.748258, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748258, 1.233128 
0.001000, 0.010000, 0.001000, 1.748258, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748258, 1.233128 
0.001000, 0.011000, 0.001000, 1.748258, -0.000000, -0.616663, -0.000000, 1.060311, -0.000000, -0.616663, -0.000000 , 1.748257, 1.233128 
0.001000, 0.012000, 0.001000, 1.748257, -0.000000, -0.616662, -0.000000, 1.060311, -0.000000, -0.616662, -0.000000 , 1.748257, 1.233129 
0.001000, 0.013000, 0.001000, 1.748257, 0.000000, -0.616663, 0.000000, 1.060311, 0.000000, -0.616663, 0.000000 , 1.748257, 1.233129 
0.001000, 0.014000, 0.001000, 1.802081, 0.053034, -0.635980, 0.053034, 1.342563, 0.053034, -0.635980, 0.053034 , 1.802080, 1.146418 
0.001000, 0.015000, 0.001000, 2.594120, 0.674196, -0.674196, 0.674196, 2.594120, 0.674196, -0.674196, 0.674196 , 2.594120, 0.847487 
0.002000, 0.001000, 0.001000, 1.342563, -0.053034, -0.053034, -0.053034, 1.802080, -0.635979, -0.053034, -0.635979 , 1.802080, 1.146419 
0.002000, 0.002000, 0.001000, 0.991644, 0.000538, -0.051255, 0.000538, 0.991644, -0.051255, -0.051255, -0.051255 , 1.169567, 1.579554 
0.002000, 0.003000, 0.001000, 0.959247, 0.000000, -0.048258, 0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136261, 1.691944 
0.002000, 0.004000, 0.001000, 0.959247, -0.000000, -0.048258, -0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136261, 1.691944 
0.002000, 0.005000, 0.001000, 0.959247, -0.000000, -0.048258, -0.000000, 0.786898, -0.000000, -0.048258, -0.000000 , 1.136261, 1.691944 
0.002000, 0.006000, 0.001000, 0.959247, -0.000000, -0.048258, -0.000000, 0.786898, -0.000000, -0.048258, -0.000000 , 1.136261, 1.691945 
0.002000, 0.007000, 0.001000, 0.959247, 0.000000, -0.048258, 0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136261, 1.691945 
0.002000, 0.008000, 0.001000, 0.959247, 0.000000, -0.048258, 0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136261, 1.691944 
0.002000, 0.009000, 0.001000, 0.959248, -0.000000, -0.048258, -0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136262, 1.691944 
0.002000, 0.010000, 0.001000, 0.959248, -0.000000, -0.048258, -0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136262, 1.691944 
0.002000, 0.011000, 0.001000, 0.959247, -0.000000, -0.048258, -0.000000, 0.786898, -0.000000, -0.048258, -0.000000 , 1.136261, 1.691945 
0.002000, 0.012000, 0.001000, 0.959247, -0.000000, -0.048258, -0.000000, 0.786898, -0.000000, -0.048258, -0.000000 , 1.136261, 1.691945 
0.002000, 0.013000, 0.001000, 0.959247, 0.000000, -0.048258, 0.000000, 0.786898, 0.000000, -0.048258, 0.000000 , 1.136261, 1.691945 
0.002000, 0.014000, 0.001000, 0.991644, -0.000538, -0.051255, -0.000538, 0.991644, 0.051255, -0.051255, 0.051255 , 1.169567, 1.579554 
0.002000, 0.015000, 0.001000, 1.342563, 0.053034, -0.053034, 0.053034, 1.802081, 0.635979, -0.053034, 0.635979 , 1.802080, 1.146418 
0.003000, 0.001000, 0.001000, 1.060311, 0.000000, 0.000000, 0.000000, 1.748257, -0.616663, 0.000000, -0.616663 , 1.748257, 1.233128 
0.003000, 0.002000, 0.001000, 0.786898, 0.000000, 0.000000, 0.000000, 0.959247, -0.048258, 0.000000, -0.048258 , 1.136261, 1.691944 
0.003000, 0.003000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.003000, 0.004000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, 0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.005000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.006000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.007000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.003000, 0.008000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.003000, 0.009000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.010000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.011000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.003000, 0.012000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104946, 1.804548 
0.003000, 0.013000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104946, 1.804548 
0.003000, 0.014000, 0.001000, 0.786898, -0.000000, 0.000000, -0.000000, 0.959247, 0.048258, 0.000000, 0.048258 , 1.136262, 1.691945 
0.003000, 0.015000, 0.001000, 1.060311, -0.000000, 0.000000, -0.000000, 1.748258, 0.616663, 0.000000, 0.616663 , 1.748258, 1.233128 
0.004000, 0.001000, 0.001000, 1.060311, -0.000000, 0.000000, 0.000000, 1.748257, -0.616663, 0.000000, -0.616663 , 1.748257, 1.233128 
0.004000, 0.002000, 0.001000, 0.786898, -0.000000, 0.000000, -0.000000, 0.959247, -0.048258, 0.000000, -0.048258 , 1.136261, 1.691944 
0.004000, 0.003000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.004000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.005000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.004000, 0.006000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.004000, 0.007000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.008000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.009000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.010000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804547 
0.004000, 0.011000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804547 
0.004000, 0.012000, 0.001000, 0.765371, 0.000000, 0.000000, 0.000000, 0.765371, -0.000000, 0.000000, -0.000000 , 1.104947, 1.804548 
0.004000, 0.013000, 0.001000, 0.765371, -0.000000, 0.000000, -0.000000, 0.765371, 0.000000, 0.000000, 0.000000 , 1.104947, 1.804548 
0.004000, 0.014000, 0.001000, 0.786898, -0.000000, 0.000000, -0.000000, 0.959247, 0.048258, 0.000000, 0.048258 , 1.136262, 1.691944 
0.004000, 0.015000, 0.001000, 1.060311, -0.000000, 0.000000, -0.000000, 1.748258, 0.616663, 0.000000, 0.616663 , 1.748258, 1.233128 
0.005000, 0.001000, 0.001000, 1.060311, -0.000000, -0.000000, -0.000000, 1.748257, -0.616663, -0.000000, -0.616663 , 1.748257, 1.233128 
0.005000, 0.002000, 0.001000, 0.786898, -0.000000, -0.000000, -0.000000, 0.959248, -0.048258, -0.000000, -0.048258 , 1.136261, 1.691944 
0.005000, 0.003000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.004000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.005000, 0.001000, 0.765371, -0.000000, -0.000000, -0.000000, 0.765371, -0.000000, -0.000000, -0.000000 , 1.104947, 1.804547 
0.005000, 0.006000, 0.001000, 0.765371, -0.000000, -0.000000, -0.000000, 0.765371, -0.000000, -0.000000, -0.000000 , 1.104947, 1.804547 
0.005000, 0.007000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.008000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.009000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.010000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
0.005000, 0.011000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, -0.000000, -0.000000, -0.000000 , 1.104947, 1.804547 
0.005000, 0.012000, 0.001000, 0.765371, -0.000000, -0.000000, -0.000000, 0.765371, -0.000000, -0.000000, -0.000000 , 1.104947, 1.804548 
0.005000, 0.013000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804548 
0.005000, 0.014000, 0.001000, 0.786898, 0.000000, -0.000000, -0.000000, 0.959247, 0.048258, -0.000000, 0.048258 , 1.136262, 1.691945 
0.005000, 0.015000, 0.001000, 1.060311, 0.000000, -0.000000, 0.000000, 1.748258, 0.616663, -0.000000, 0.616663 , 1.748258, 1.233128 
0.006000, 0.001000, 0.001000, 1.060311, -0.000000, -0.000000, -0.000000, 1.748257, -0.616663, -0.000000, -0.616663 , 1.748257, 1.233128 
0.006000, 0.002000, 0.001000, 0.786898, -0.000000, -0.000000, -0.000000, 0.959247, -0.048258, -0.000000, -0.048258 , 1.136261, 1.691945 
0.006000, 0.003000, 0.001000, 0.765371, 0.000000, -0.000000, 0.000000, 0.765371, 0.000000, -0.000000, 0.000000 , 1.104947, 1.804547 
